date,symbol,price,volume
2026-03-03,NVDA,182.48,206465519
2026-03-03,TSLA,403.32,52697218
2026-03-03,SPY,686.38,83702843
2026-03-03,0050.TW,79.95,48351487
2026-03-03,2330.TW,1970.0,9562098
2026-03-03,2303.TW,64.3,25047532
2026-03-03,9802.TW,94.6,97670
2026-03-03,9910.TW,92.7,340596
2026-03-03,9904.TW,30.65,1845128
2026-03-03,NVDA,182.48,206465519
2026-03-03,TSLA,403.32,52697218
2026-03-03,SPY,686.38,83702843
2026-03-03,0050.TW,79.85,58117190
2026-03-03,2330.TW,1970.0,10241158
2026-03-03,2303.TW,64.0,28336758
2026-03-03,9802.TW,94.4,112682
2026-03-03,9910.TW,92.4,444299
2026-03-03,9904.TW,30.6,2229749
2026-03-03,NVDA,182.48,206465519
2026-03-03,TSLA,403.32,52697218
2026-03-03,SPY,686.38,83702843
2026-03-03,0050.TW,79.65,76885321
2026-03-03,2330.TW,1965.0,13256342
2026-03-03,2303.TW,63.6,36685795
2026-03-03,9802.TW,93.7,179319
2026-03-03,9910.TW,92.6,502453
2026-03-03,9904.TW,30.45,3353873
2026-03-03,NVDA,182.48,208609300
2026-03-03,TSLA,403.32,54963900
2026-03-03,SPY,686.38,87245200
2026-03-03,0050.TW,79.6,84833036
2026-03-03,2330.TW,1965.0,14098878
2026-03-03,2303.TW,63.6,38867185
2026-03-03,9802.TW,93.8,186849
2026-03-03,9910.TW,92.8,525485
2026-03-03,9904.TW,30.4,3703082
2026-03-03,NVDA,182.48,208609300
2026-03-03,TSLA,403.32,54963900
2026-03-03,SPY,686.38,87245200
2026-03-03,0050.TW,79.3,108612748
2026-03-03,2330.TW,1950.0,18083954
2026-03-03,2303.TW,62.8,48929825
2026-03-03,9802.TW,93.3,278473
2026-03-03,9910.TW,92.8,554657
2026-03-03,9904.TW,30.3,4303115
2026-03-03,NVDA,182.48,208609300
2026-03-03,TSLA,403.32,54963900
2026-03-03,SPY,686.38,87245200
2026-03-03,0050.TW,79.1,222656944
2026-03-03,2330.TW,1945.0,32727275
2026-03-03,2303.TW,62.7,73676096
2026-03-03,9802.TW,94.1,474930
2026-03-03,9910.TW,92.3,1334084
2026-03-03,9904.TW,30.35,6622874
2026-03-03,NVDA,182.48,208609300
2026-03-03,TSLA,403.32,54963900
2026-03-03,SPY,686.38,87245200
2026-03-03,0050.TW,78.95,254509892
2026-03-03,2330.TW,1945.0,35239067
2026-03-03,2303.TW,62.4,79599040
2026-03-03,9802.TW,93.9,542662
2026-03-03,9910.TW,92.2,1602941
2026-03-03,9904.TW,30.35,7112695
2026-03-03,NVDA,182.48,208609300
2026-03-03,TSLA,403.32,54963900
2026-03-03,SPY,686.38,87245200
2026-03-03,0050.TW,78.8,277674911
2026-03-03,2330.TW,1945.0,37457391
2026-03-03,2303.TW,62.3,85031655
2026-03-03,9802.TW,93.6,580905
2026-03-03,9910.TW,92.1,1742571
2026-03-03,9904.TW,30.25,8561655
2026-03-03,NVDA,182.48,208609300
2026-03-03,TSLA,403.32,54963900
2026-03-03,SPY,686.38,87245200
2026-03-03,0050.TW,78.75,286469383
2026-03-03,2330.TW,1945.0,38382400
2026-03-03,2303.TW,62.2,89493877
2026-03-03,9802.TW,93.6,589085
2026-03-03,9910.TW,92.2,1782216
2026-03-03,9904.TW,30.2,9447252
2026-03-03,NVDA,182.48,208609300
2026-03-03,TSLA,403.32,54963900
2026-03-03,SPY,686.38,87245200
2026-03-03,0050.TW,78.75,291041874
2026-03-03,2330.TW,1940.0,38819250
2026-03-03,2303.TW,62.4,91500704
2026-03-03,9802.TW,93.6,597085
2026-03-03,9910.TW,92.0,1834989
2026-03-03,9904.TW,30.2,9491349
2026-03-03,NVDA,182.48,208609300
2026-03-03,TSLA,403.32,54963900
2026-03-03,SPY,686.38,87245200
2026-03-03,0050.TW,78.75,300777236
2026-03-03,2330.TW,1945.0,39530435
2026-03-03,2303.TW,62.1,94146148
2026-03-03,9802.TW,93.4,646748
2026-03-03,9910.TW,92.1,1858151
2026-03-03,9904.TW,30.15,9951483
